for phor
aften aphten
er ere
mynt meunt
aerede aerede
vokter Vogter
vi wii
vil viil
elektroniske elechtronisqe
aa at
ei ey
faa phaa
invitasjon Invitation
derfor derphor
diskresjon diskretion
hoeyt hoeit
utav udaaf
visom Wiisdom
sin siin
kjenner kiender
til tiil
og och
paa paa
naar naar
mot mod
deres eders
finne phinde
gjelder gielder
bli blifue
fra phra
noe noget
alkohol Alcohol
ogsaa ochsaa
noen nogen
som der
sette anbringe
legge anbringe
plassere anbringe
feste anbringe
plassering anbringelse
oppgi anphoere
bemerke anphoere
nevne anphoere
paapeke anphoere
vaere vaere
deres Eders
dere Eder
merknad anphoersel
aktuelle angjeldende
om angaaende
frakte bephordre
transportere bephordre
frakt bephordring
transport bephordring
fordel begunstigelse
velvilje begunstigelse
kunngjoere bekjentgjoere
undersoeke besiktige
undersoekelse besiktigelse
kontroll besiktigelse
har hafuer
betale erlegge
betales erlegges
anskaffe erverfue
kjoepe erverfue
foelge etterlefue
frastaa phravike
staar phremgaar
utsettelse henstand
vente henstaa
denne innevaerende
innebaere medphoere
innebaerer medphoerer
delta medvirke
faa oppebaere
pause opphold
slutte opphoere
nevnte ophenevnte
noedvendig paakrefuet
alle samtlige
slik saaledes
dermed saaledes
behov tarv
trang tarv
interesse tarv
problem uleilighet
ulempe uleilighet
jeg undertegnede
